"spkid"
3012393
3005804
3092100
3092101
3092102
3092104
3002856
3092105
3092106
3092107
3003148
3005816
3092109
3005818
3092111
3005831
3005851
3092112
3092113
3005864
3092114
3092115
3005871
3092117
3005874
3005877
3005896
3092118
3092119
3092120
3012399
3092121
3005920
3092122
3092123
3092124
3092125
3005942
3005943
3092127
3092128
3092129
3092130
3092131
3005969
3092132
3092133
3092134
3005973
3092135
3092136
3006176
3007932
3092138
3007722
3006207
3007950
3092139
3092140
3092141
3008008
3008064
3008028
3092142
3092143
3008362
3008375
3008376
3092144
3092146
3092147
3009014
3009026
3009067
3009117
3092151
3092152
3092153
3092154
3092155
3092156
3009542
3009717
3009749
3092157
3092158
3010077
3092160
3010346
3010679
3010682
3010396
3092161
3007490
3010734
3092162
3092163
3092164
3092165
3092166
3007574
3007859
3007642
3092168
3092169
3011167
3007925
3007053
3092170
3092171
3184472
3092172
3011573
3012991
3011965
3012996
3092174
3013024
3092175
3092176
3013039
54179903
3092181
3092182
3013623
3092184
3013061
3012392
3013645
3013648
3013651
3013658
3092186
3014153
3014162
3092188
3013664
3014781
3014109
3092193
3014110
3014184
3014112
3092194
3015796
3015823
3092196
3092197
3014683
3092198
3092199
3015692
3092201
3015694
3092202
3092203
3015695
3092205
3092206
3016524
3064315
3017307
3017308
3017309
3092212
3092213
3018330
3017729
3019075
3019077
3092214
3092215
3019624
3019079
3092216
3018335
3019631
3092217
3019083
3092220
3092221
3020950
3020976
3092224
3092225
3019646
3092227
3019647
3092228
3022007
3092229
3022013
3022026
3023165
3023021
3022995
3092231
3023018
3022933
3023012
3022035
3022935
3092232
3023064
3024682
3023213
3022970
3022971
3023157
3024692
3024695
3024696
54402375
3023216
3092234
3022973
3022972
3022974
3092235
3023285
3092236
3092237
3022975
3092238
3092239
3024027
3092241
3092242
3042899
3092243
3092244
3092245
3024030
3024715
3024714
3092247
3025760
3025766
3029456
3026912
3029650
3029651
3092248
3029670
3031701
3092249
3031751
3028805
3034813
3028806
3031776
3028810
3031172
3092251
3031814
3031176
3092253
3031184
3092255
3035165
54506152
3036128
3036140
3092257
3092258
3036336
3092259
3076412
3036363
3092260
3092261
3035245
3092262
3035252
3042552
3043880
3043885
3092264
3092266
3038472
3042555
3043931
3193003
3046647
3046648
3092267
3046843
3047101
3046120
3092268
3092269
3053778
3046124
3046125
3092270
3054041
3065692
3065636
3067537
3092271
3061255
3065556
3046149
3067545
3092273
3067559
3063594
3063595
3061702
3066079
3050514
3061707
3061726
3061746
3061790
3067565
3061794
3054334
3054338
3062448
3054374
3067588
3067589
3067590
3050517
3062723
3054373
3063789
3068617
3054375
3065518
3092274
3063058
3092275
3092276
3063064
3092277
3070712
3076549
3063080
3071222
3065540
3065824
3092278
3057546
3072800
3092279
